!IOTYPE  ikx stn_id
 t       181 01001
 t       181 01002
 t       181 01003
 t       181 01006
 t       181 01007
 t       181 01008
 t       181 01009
 t       181 01010
 t       181 01011
 t       181 01013
 t       181 01016
 t       181 01017
 t       181 01020
 t       181 01024
 t       181 01028
 t       181 01033
 t       181 01039
 t       181 01044
 t       181 01052
 t       181 01055
 t       181 01062
 t       181 01068
 t       181 01078
 t       181 01083
 t       181 01092
 t       181 01098
 t       181 01099
 t       181 01102
 t       181 01107
 t       181 01108
 t       181 01112
 t       181 01114
 t       181 01115
 t       181 01116
 t       181 01121
 t       181 01139
 t       181 01141
 t       181 01152
 t       181 01156
 t       181 01160
 t       181 01161
 t       181 01203
 t       181 01205
 t       181 01210
 t       181 01212
 t       181 01217
 t       181 01225
 t       181 01228
 t       181 01237
 t       181 01240
 t       181 01241
 t       181 01257
 t       181 01259
 t       181 01282
 t       181 01304
 t       181 01307
 t       181 01310
 t       181 01311
 t       181 01403
 t       181 01406
 t       181 01408
 t       181 01411
 t       181 01412
 t       181 01415
 t       181 01427
 t       181 01448
 t       181 01452
 t       181 01465
 t       181 01476
 t       181 01481
 t       181 01482
 t       181 01483
 t       181 01495
 t       181 02191
 t       181 02284
 t       181 02286
 t       181 02287
 t       181 02297
 t       181 02355
 t       181 02418
 t       181 02488
 t       181 02498
 t       181 02500
 t       181 02501
 t       181 02516
 t       181 02520
 t       181 02544
 t       181 02545
 t       181 02563
 t       181 02567
 t       181 02575
 t       181 02589
 t       181 02615
 t       181 02625
 t       181 02644
 t       181 02664
 t       181 02667
 t       181 02679
 t       181 02721
 t       181 02724
 t       181 02741
 t       181 02746
 t       181 02747
 t       181 02751
 t       181 02752
 t       181 02757
 t       181 02761
 t       181 02772
 t       181 02778
 t       181 02780
 t       181 02781
 t       181 02790
 t       181 02795
 t       181 02800
 t       181 02863
 t       181 02872
 t       181 02873
 t       181 02888
 t       181 02907
 t       181 02910
 t       181 02920
 t       181 02931
 t       181 02950
 t       181 02964
 t       181 02967
 t       181 02970
 t       181 02978
 t       181 02979
 t       181 02980
 t       181 02981
 t       181 02982
 t       181 02984
 t       181 02987
 t       181 02989
 t       181 02991
 t       181 02992
 t       181 02993
 t       181 02997
 t       181 02998
 t       181 03002
 t       181 03005
