LEMNT   UrbaNet     8474 27557  41  17.9   1.2   1.9  41   3.1  -0.9    2.1   19   10
JKLNH   AWS         8475 27923  40  18.6   0.4   1.3  40   1.8  -0.9    1.4    7   19
FRBRG   AWS         8476 29112  40  20.8  -0.3   1.2  40   3.0  -0.9    1.4   24   15
ATF29   AWS         8477 31354  40  23.6  -0.3   1.4  40   1.9  -0.9    1.4   10  -12
C5674   APRSWXNET   8478 10116  40  25.2  -0.4   0.8  40   0.9  -0.9    0.9    0    0
BBRC2   RAWS        8479 12328  40   8.5  -2.2   1.7  40   3.5  -0.9    1.4   32    4
CCKT1   RAWS        8480 13013  40  23.8   1.6   1.1  40   2.5  -0.9    1.4   13   24
CQ082   MesoWest    8481 18393  35  20.4  -0.6   2.5  34   1.6  -0.9    1.1    5    1
PROUT   AWS         8483 23567  40  13.4  -1.5   1.8  40   2.1  -0.9    1.8    7  -72
SSKTN   AWS         8484 23686  40  10.5   0.9   1.6  40   3.7  -0.9    1.6   21  -20
BMMNT   AWS         8485 24007  40  28.8   1.2   0.8  40   2.4  -0.9    1.6   15   -6
CVLTN   AWS         8486 24664  34  25.2   1.9   0.8  34   1.7  -0.9    1.4    2   10
DEPEW   AWS         8487 24674  40  15.5   0.9   1.4  40   1.6  -0.9    1.3    5   11
LITHS   AWS         8488 24885  40  23.3   0.1   1.1  40   1.8  -0.9    1.2   10   15
MRIDN   AWS         8489 24976  40  17.3   1.3   1.1  40   1.4  -0.9    0.9    5  -95
VNNVA   AWS         8490 25480  40  22.1  -0.9   1.1  40   2.0  -0.9    1.7   11   -5
CLIFT   AWS         8491 25626  40  19.5   1.9   1.4  40   1.6  -0.9    1.5    3   39
PLNTT   AWS         8492 25714  40  26.9  -0.7   1.1  40   3.5  -0.9    1.4   32   -2
SRUC1   RAWS        8500  6394  40  19.8  -2.2   2.5  40   4.3   0.9    1.3   26  -40
BVRC1   RAWS        8501  7866  32  23.3   1.8   3.3  32   3.7   0.9    1.7   13  -43
AR622   APRSWXNET   8508  3912  38  14.7   1.0   1.9  38   1.6  -0.9    1.2    8   36
C4709   APRSWXNET   8509  4746  36  21.2   0.9   0.9  36   2.2  -0.9    1.4    9   12
NE029   NEDOR       8510  5303  35  14.4   0.2   1.4  35   4.2  -0.9    1.4   26   -4
AR986   APRSWXNET   8511  9245  35  19.9   0.8   1.2  35   1.4  -0.9    1.2    6    4
PMPTN   AWS         8512 26102  28  19.8   1.0   1.6  28   0.9  -0.9    1.5    0    0
MDRBC   AWS         8513 26125  28  28.9   0.3   0.8  28   2.3  -0.9    1.3    7  -13
PSCBH   UrbaNet     8514 27400  35  26.2   0.1   1.4  35   4.4  -0.9    1.9   21   17
CNNMN   UrbaNet     8515 27416  38  18.9  -0.1   1.6  38   2.0  -0.9    1.7    6  -12
EVRGR   UrbaNet     8516 27476  38  18.3   1.5   2.1  38   3.4  -0.9    2.1   21   20
NE011   NEDOR       8517 28587  36  16.0   1.1   1.0  36   4.1  -0.9    1.3   26   16
TAYLR   AWS         8518 30744  38  29.9   0.8   1.2  38   5.1   0.9    2.5   23  -36
TS712   RAWS        8519 31449  37  25.1   1.9   2.0  37   1.8  -0.9    1.2    5   22
C5444   APRSWXNET   8520 10076  38  21.2   1.1   1.3  38   2.2  -0.9    1.5   13  -60
DBLN6   Maritime    8521 11561  37  15.6  -0.6   1.6  37   5.9   0.9    2.6   28  -20
OH105   OHDOT       8522 13126  35  19.1   1.6   1.4  35   2.7  -0.9    1.8   18  -39
C4827   APRSWXNET   8523 17370  38  29.0   1.5   0.8  38   5.1  -0.9    1.6   36  -12
ONSID   AWS         8524 23205  35  19.9  -0.9   1.5  35   2.4  -0.9    1.2    7  -24
OMAHA   AWS         8525 23745  28  15.0   0.1   0.9  28   3.5  -0.9    1.5   17   -8
AR784   APRSWXNET   8526 10549  39  24.3  -0.3   0.7  39   0.6  -0.9    1.0    0    0
PRGV2   RAWS        8527 11103  39  24.6   0.1   2.2  39   1.0  -0.9    1.3    0    0
BFRI1   RAWS        8528 12333  40  13.7   1.7   3.3  40   3.9  -0.9    2.3   21   -6
RSAC1   RAWS        8529 12568  39  16.5   0.7   1.7  40   2.9   0.9    1.7    6  -38
TS305   RAWS        8530 12637  40  11.0  -0.4   1.6  40   3.0  -0.9    1.2   18  -21
QSF     MesoWest    8531 12781  39  15.4   0.2   1.9  39   2.5  -0.9    1.8   10   21
BEAUM   AWS         8532 23254  40  27.7   0.2   0.8  40   2.5  -0.9    1.8   15  -29
SANTN   AWS         8533 23676  40  29.5   0.5   1.0  40   2.3  -0.9    1.1   15  -28
CLMKS   AWS         8534 23792  39  20.9  -0.8   1.2  39   3.2  -0.9    1.6   22   -2
KTHVL   AWS         8535 23905  40  25.2  -0.7   1.2  40   1.5  -0.9    1.5    3    2
LGNNG   AWS         8536 23982  41  18.2  -2.1   1.3  41   2.3  -0.9    1.3   16   16
GRNTT   AWS         8537 24282  40  19.7  -0.2   1.2  40   3.9  -0.9    1.2   29    1
LKLML   AWS         8538 24374  40  11.6   0.2   1.3  40   3.2  -0.9    1.9   25   -8
DALLS   AWS         8539 24665  40  16.9   0.2   1.5  40   1.5  -0.9    1.4    3   66
RICMD   AWS         8540 25102  40  24.1  -0.0   0.8  40   1.0  -0.9    1.3    0    0
RONDV   AWS         8541 25110  40  17.0   0.6   2.2  40   1.4  -0.9    0.9    5  -39
WOBRG   AWS         8542 25269  40  23.4  -0.1   1.2  40   1.8  -0.9    1.6    8  -19
THRNW   AWS         8543 25320  40  16.8   0.5   0.9  40   1.4  -0.9    1.2    3  -15
BALTN   AWS         8544 25337  40  22.5  -0.8   1.3  40   1.5  -0.9    1.5    6  -24
FRLWM   AWS         8545 25789  40  17.5   0.1   1.4  40   1.5  -0.9    1.3    4   10
NE039   NEDOR       8550  5313  30  16.7   0.5   0.9  30   3.3  -0.9    1.2   17   -3
VANO    OK-Meso     8551  5489  39  24.9   0.8   1.2  39   4.1  -0.9    1.8   28    4
GRA2    OK-Meso     8552  5491  39  27.3   2.5   1.6  39   6.1   0.9    1.4   32    5
H0269   WXforYou    8553  5613  39  18.8   0.9   1.7  39   1.0  -0.9    0.9    1  -11
CBFI1   RAWS        8554  6035  39   7.7   2.9   3.7  39   3.8   0.9    2.4   20   -8
LCKI1   RAWS        8555  6194  39   9.1  -0.9   3.1  39   3.1   0.9    1.1   14  -14
DUNN5   RAWS        8556  7184  39  23.6  -1.1   1.0  39   5.8  -0.9    1.9   37   -7
GRVN2   RAWS        8557  7921  40  15.1   1.3   1.2  40   4.5  -0.9    2.3   25   -8
DSTU1   MesoWest    8558  8317  35   9.1   0.7   1.2  31   2.1  -0.9    1.5    6  -28
C3771   APRSWXNET   8559  9800  39  30.5   1.1   0.9  39   1.7  -0.9    1.1    7   17
TWNCR   AWS         8560 26127  39  24.8  -0.3   1.1  39   2.0  -0.9    1.6    8  -11
HMOU3   AWS         8561 26217  39  25.8  -1.9   1.5  39   2.6  -0.9    1.5   17  -32
LSV02   UrbaNet     8562 27059  40  22.6  -1.7   1.1  40   2.3  -0.9    1.7   12   46
LSCRS   UrbaNet     8563 27090  40  24.7  -0.0   1.1  40   1.9  -0.9    1.9    7  -41
RSWLL   UrbaNet     8564 27198  41  21.6  -1.7   1.4  41   1.9  -0.9    1.6    8  -18
ALSTN   UrbaNet     8565 28003  40  28.0  -0.4   1.4  40   4.2   0.9    2.2   21   -2
SRFLD   AWS         8566 28235  40  19.3   1.5   1.7  40   1.8  -0.9    1.4    9  -13
KFPK    NonFedAWOS  8567 28613  40  15.8   1.0   1.2  40   3.8  -0.9    1.4   28    3
WFHC1   RAWS        8568 29234  39  18.6   0.6   1.9  39   3.6  -0.9    1.5   19  -11
TER     ARLFRD      8569 30781  39  12.4   1.0   1.4  39   3.3   0.9    2.0    7    2
TMWTR   AWS         8570 30990  40  12.9   1.2   1.3  40   1.4  -0.9    1.6    5  -48
NWHIT   AWS         8571 31316  39  17.5   0.8   1.2  39   1.6  -0.9    1.3    5   35
NWOCH   UrbaNet     8572 27307  45  26.1  -0.5   0.9  45   2.6  -0.9    2.0   12    5
C8843   APRSWXNET   8573 32689  35  13.9  -0.2   1.4  35   2.2  -0.9    2.0   11   29
46012   Maritime    8574 11389   0   0.0   0.0   0.0  35   5.1   0.9    1.9   19  -32
CQ089   MesoWest    8575 18397  35  17.6  -2.2   1.9  34   2.0  -0.9    1.2    4   -6
ITD22   MesoWest    8576 21756  34  13.1   0.4   1.8  34   6.0   0.9    2.1   26   -6
SMTHV   AWS         8577 23614  33  27.9  -0.4   1.8  33   2.6  -0.9    1.4   16  -16
SNTNO   AWS         8578 23819  32  29.8   1.0   1.1  32   2.7  -0.9    1.2   16  -52
HALFX   AWS         8579 24796  32  21.4   1.4   1.6  32   1.7  -0.9    1.3    6    7
C2876   APRSWXNET   8580  4409  33  19.2   2.3   2.0  33   2.6   0.9    1.7    8  -26
C5272   APRSWXNET   8581  4847  35  16.2   0.6   2.3  35   0.7  -0.9    1.1    1   28
C6207   APRSWXNET   8582  5057  32  17.9   0.6   1.6  32   1.7  -0.9    1.0   12   -4
SDST2   WT-Meso     8591  3639  39  25.9   0.6   1.2  39   6.6   0.9    1.8   28  -13
AR743   APRSWXNET   8592  3941  40  13.0   2.8   2.0  40   2.0  -0.9    1.4   13  -62
AR983   APRSWXNET   8593  3987  39  22.9   0.1   1.2  39   5.4   0.9    2.6   21   15
C3518   APRSWXNET   8594  4529  39  24.9  -1.1   1.3  39   6.1   0.9    2.0   29    0
C4488   APRSWXNET   8595  4691  36  19.4  -2.0   1.9  36   2.3  -0.9    2.1    8  -10
FITT    OK-Meso     8596  5500  39  24.4  -0.3   1.3  39   5.8   0.9    1.5   29   20
K1EGN   KSDOT       8597  6917  38  19.2   0.6   1.3  38   4.0  -0.9    1.5   25  -74
K5KSM   KSDOT       8598  6937  38  23.9   0.3   1.2  38   5.4  -0.9    1.7   33    0
K5EUR   KSDOT       8599  6955  39  20.6  -0.4   1.1  39   3.7  -0.9    1.6   25  -15
KBIT    WYDOT       8600  7021  39  11.4   0.1   1.9  39   6.8   0.9    1.6   35   18
FADT2   RAWS        8601  7907  40  28.7   2.6   1.2  40   4.9  -0.9    1.2   37  -10
UMTO3   RAWS        8602  8108  39  16.4   2.1   1.8  39   2.9   0.9    1.8    9  -46
E5POR   MesoWest    8603  8874  39  12.9   0.7   1.2  39   2.9   0.9    1.1   12    2
AP121   APRSWXNET   8604  8930  39  15.1   0.7   2.3  39   5.6   0.9    2.3   28   29
C1470   APRSWXNET   8605  9487  39  25.0   0.1   0.7  39   0.6  -0.9    1.1    1  -14
C4014   APRSWXNET   8606  9846  39  19.2   1.3   1.7  39   1.8  -0.9    1.5    8  -22
C4183   APRSWXNET   8607  9871  36  31.0   1.8   1.3  36   1.9  -0.9    1.1    9   -2
HCKTT   AWS         8608 26802  40  17.8   0.9   1.7  40   1.3  -0.9    1.1    6   20
CPLAY   AWS         8609 26864  40  19.0   0.8   1.6  40   1.9  -0.9    0.9   10   10
DRPRK   UrbaNet     8610 26977  37  27.9   0.1   0.9  37   3.2  -0.9    1.9   23   13
HNTRY   UrbaNet     8611 27045  37  20.2  -1.7   1.9  37   2.0  -0.9    1.3    7  -10
HARHN   UrbaNet     8612 27188  40  27.0   0.1   1.0  40   2.7  -0.9    2.5   17  -18
ONIDA   AWS         8613 28463  36  23.4   2.7   1.1  36   1.5  -0.9    1.5    5   49
DUBOH   AWS         8614 30474  40  20.2   2.4   1.5  40   2.7  -0.9    1.5   17    8
C8715   APRSWXNET   8615 30940  39   7.5  -4.1   1.9  39   3.9  -0.9    1.9   23   39
C8427   APRSWXNET   8616 31066  39  15.8   0.5   1.2  39   2.1  -0.9    1.8    4   13
PSCL1   LSU-JSU     8617 31432  38  27.2   1.5   1.0  38   4.4  -0.9    2.2   30   -6
C5804   APRSWXNET   8618 10131  36  24.7   0.6   0.9  36   1.0  -0.9    1.0    6  -21
DC008   DCNet       8619 10212  39  22.5  -0.6   1.2  39   4.1   0.9    1.5   15   11
LFFT1   RAWS        8620 10784  39  23.7   0.7   1.5  39   2.3  -0.9    1.6   13   24
DBYV1   RAWS        8621 11065  39  14.9   3.4   1.6  39   1.7  -0.9    1.4    2  -34
NATW2   RAWS        8622 11093  39  17.4  -2.9   2.1  39   1.8  -0.9    1.0    6   34
QPVA3   RAWS        8623 12283  39  22.7   2.5   1.2  39   3.8  -0.9    1.5   31   10
QHW     MesoWest    8624 12776  39  15.2   1.0   1.1  39   2.6  -0.9    1.8   11   -9
OH039   OHDOT       8625 13066  38  17.0   0.9   1.5  38   1.2  -0.9    1.0    2   18
PRWF1   RAWS        8626 13199  40  28.3   1.9   1.0  40   3.0  -0.9    1.2   27   14
TVANT   MesoWest    8627 18108  40  15.0   1.3   1.6  40   3.6   0.9    1.4   18   -3
CQ148   MesoWest    8628 18434  37  19.2  -1.0   1.6  36   3.0  -0.9    1.7   16   -9
TUST2   WT-Meso     8629 20369  39  25.6  -0.2   1.7  39   6.4   0.9    1.2   32   -9
C7467   APRSWXNET   8631 22497  39  11.9   0.9   1.4  39   1.3  -0.9    1.3    7  -47
MLVEN   AWS         8632 23729  40  23.4  -0.7   0.8  40   1.4  -0.9    1.0    6   32
WCYBT   AWS         8633 24472  39  21.2   0.9   1.3  39   2.1  -0.9    1.4   10  -10
AIKEN   AWS         8634 24504  40  26.5  -0.0   0.6  40   1.3  -0.9    1.3    4  -47
SHERM   AWS         8635 25139  40  13.2  -0.5   1.7  40   1.5  -0.9    1.2    6  -16
NNSNV   AWS         8636 25920  40  17.9  -0.2   1.5  40   1.1  -0.9    1.2    0    0
JHR     MesoWest    8637 21223  27   2.5  -4.6   2.3  27   3.2   0.9    1.5   11   47
LSVJC   UrbaNet     8640 26962  41  25.3   0.8   1.2  41   2.2  -0.9    2.0    7  -43
PTOMC   UrbaNet     8641 27401  42  21.3  -1.1   1.2  42   2.4  -0.9    2.1   12  -18
STHGT   UrbaNet     8642 30462  41  20.2  -0.2   1.4  41   1.8  -0.9    1.3    6  -13
KS34    NonFedAWOS  8643 32750  29  12.9   1.4   1.4  29   1.2  -0.9    1.2    7   -7
BTHBS   AWS         8644 26700  32  24.2  -0.0   1.2  32   1.7  -0.9    1.5    2   36
SOMST   AWS         8645 28914  32  20.8   1.7   1.4  32   1.6  -0.9    1.6    3   31
KQ11    NJWxNet     8646 29031  39  18.4  -0.4   0.9  36   5.0  -0.9    2.2   29    0
45012   Maritime    8647 11518  36  13.7  -1.2   0.6  36   6.7   0.9    1.3   30  -16
TBLEW   MesoWest    8648 12856  34   8.2  -1.6   1.6  34   0.7  -0.9    1.1    0    0
OH160   OHDOT       8649 13174  35  17.5   1.8   1.1  35   2.4  -0.9    1.3   12   40
OH165   OHDOT       8650 13179  35  15.4   1.0   1.8  35   1.2  -0.9    1.1    4   14
C7070   APRSWXNET   8651 22009  35  30.3   1.4   1.1  35   1.7  -0.9    1.4    5   37
FMCNR   AWS         8652 23863  36  22.5   1.4   1.3  36   2.4  -0.9    1.3   15 -150
FSDRC   AWS         8653 25660  36  21.0   0.7   1.0  36   2.5  -0.9    1.5   14   -4
C1456   APRSWXNET   8656  4217  36  12.4   1.7   1.6  36   1.1  -0.9    1.3    7   12
NE000   NEDOR       8657  5285  36  15.2   1.3   1.4  36   5.7   0.9    1.6   26   27
AR701   APRSWXNET   8666  3928  39  24.9  -3.2   1.7  39   3.3   0.9    1.7   14  -18
